Model Name,Single Task,Tasks,Sampling Mode,final_loss_train,final_loss_dev,final_loss_test,final_acc_dev,final_acc_test,SemEval_final_acc_dev_2_class,SemEval_final_acc_dev_3_class,SemEval_final_acc_dev_4_class,SemEval_final_acc_test_2_class,SemEval_final_acc_test_3_class,SemEval_final_acc_test_4_class,Sentihood_strict__aspect_acc_dev,Sentihood_strict_aspect_acc_test,Sentihood_Sentiment_AUC,Sentihood_Aspect_AUC,Precision,Recall,F1_Score,Done?,UniqueID
bert-base-uncased,SST-2,"SST-2, Sentihood_QA_B",sqrt,0.01950613692325163,0.2532221036297934,0.2532221036297934,0.9300458715596328,0.9300458715596328,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|sqrt"
bert-base-uncased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",sqrt,0.005513214479920965,0.2078920560888946,0.2078920560888946,0.9377049180327868,0.9300986842105264,,,,,,,,0.8527214514407684,0.9621414300487692,0.9659811896465648,0.9579524680073126,0.8590163934426229,0.905790838375108,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|sqrt"
xlnet-base-cased,SST-2,"SST-2, Sentihood_QA_B",square,0.026087291143271255,0.2174943153347288,0.2174943153347288,0.9426605504587156,0.9426605504587156,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|square"
xlnet-base-cased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",square,0.009355981944641812,0.24389164919160644,0.24389164919160644,0.9360655737704918,0.9440789473684208,,,,,,,,0.8495197438633938,0.9578142088426064,0.9735301531347692,0.955595026642984,0.8819672131147541,0.9173060528559248,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|square"
bert-base-uncased,SST-2,"SST-2, Sentihood_QA_B",square,0.017361936792480652,0.2337539345026016,0.2337539345026016,0.9323394495412844,0.9323394495412844,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|square"
bert-base-uncased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",square,0.0031409977639504463,0.2233553359189748,0.2233553359189748,0.918032786885246,0.9416118421052632,,,,,,,,0.8612593383137673,0.959857062674292,0.972458695073124,0.9668508287292816,0.860655737704918,0.9106678230702516,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|square"
xlnet-base-cased,SST-2,"SST-2, Sentihood_QA_B",anneal,0.0379210303686038,0.2201824103082929,0.2201824103082929,0.9369266055045872,0.9369266055045872,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|anneal"
xlnet-base-cased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",anneal,0.009869343573430915,0.215025886120698,0.215025886120698,0.939344262295082,0.9383223684210528,,,,,,,,0.855923159018143,0.9702865859994044,0.972520693868905,0.9607142857142856,0.8819672131147541,0.9196581196581196,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|anneal"
bert-base-uncased,SST-2,"SST-2, Sentihood_QA_B",anneal,0.0238086118088266,0.2750456780195236,0.2750456780195236,0.9231651376146788,0.9231651376146788,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|anneal"
bert-base-uncased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",anneal,0.003309560840289539,0.1996004689294337,0.1996004689294337,0.9409836065573772,0.9383223684210528,,,,,,,,0.8665955176093917,0.9643601421179002,0.9739875845238148,0.9657039711191336,0.8770491803278688,0.9192439862542956,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|anneal"
xlnet-base-cased,SST-2,"SST-2, NER, SemEval_QA_B",sequential,0.024542974393626186,0.2316528665167945,0.2316528665167945,0.94151376146789,0.94151376146789,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, NER, SemEval_QA_B|sequential"
xlnet-base-cased,NER,"SST-2, NER, SemEval_QA_B",sequential,0.02023614602244461,0.20657714599600205,0.20657714599600205,0.676923076923077,0.7046046915725456,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, NER, SemEval_QA_B|sequential"
xlnet-base-cased,SemEval_QA_B,"SST-2, NER, SemEval_QA_B",sequential,0.02043026996277252,0.11743374868254562,0.11743374868254562,0.922,0.922,0.9579067121729238,0.9023638232271326,0.8663414634146341,0.9579067121729238,0.9023638232271326,0.8663414634146341,,,,,0.90205680705191,0.8985365853658537,0.9002932551319648,Yes,"xlnet-base-cased|SST-2, NER, SemEval_QA_B|sequential"
bert-base-uncased,SST-2,"SST-2, NER, SemEval_QA_B",sequential,0.015343802928938327,0.2392025887966156,0.2392025887966156,0.9311926605504588,0.9311926605504588,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, NER, SemEval_QA_B|sequential"
bert-base-uncased,NER,"SST-2, NER, SemEval_QA_B",sequential,0.012337072854283976,0.24844269167918426,0.24844269167918426,0.6609230769230771,0.6666666666666666,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, NER, SemEval_QA_B|sequential"
bert-base-uncased,SemEval_QA_B,"SST-2, NER, SemEval_QA_B",sequential,0.0107725406947675,0.11657217556942895,0.11657217556942895,0.924,0.924,0.9476678043230944,0.8807810894141831,0.8478048780487805,0.9476678043230944,0.8807810894141831,0.8478048780487805,,,,,0.9247743229689068,0.8995121951219512,0.9119683481701284,Yes,"bert-base-uncased|SST-2, NER, SemEval_QA_B|sequential"
xlnet-base-cased,SST-2,"SST-2, NER, SemEval_QA_B",random,0.02424129705691749,0.2507798373699188,0.2507798373699188,0.9369266055045872,0.9369266055045872,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, NER, SemEval_QA_B|random"
xlnet-base-cased,NER,"SST-2, NER, SemEval_QA_B",random,0.0196941090379308,0.2093402729011499,0.2093402729011499,0.6772307692307692,0.702287865624095,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, NER, SemEval_QA_B|random"
xlnet-base-cased,SemEval_QA_B,"SST-2, NER, SemEval_QA_B",random,0.01968047632530131,0.1146992217262934,0.1146992217262934,0.9245,0.9245,0.9544937428896472,0.8992805755395683,0.8702439024390244,0.9544937428896472,0.8992805755395683,0.8702439024390244,,,,,0.907920792079208,0.8946341463414634,0.9012285012285012,Yes,"xlnet-base-cased|SST-2, NER, SemEval_QA_B|random"
bert-base-uncased,SST-2,"SST-2, NER, SemEval_QA_B",random,0.015240059591014337,0.2860334941319057,0.2860334941319057,0.9162844036697247,0.9162844036697247,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, NER, SemEval_QA_B|random"
bert-base-uncased,NER,"SST-2, NER, SemEval_QA_B",random,0.012686514713753472,0.2481294798736389,0.2481294798736389,0.6633846153846154,0.6718795250506806,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, NER, SemEval_QA_B|random"
bert-base-uncased,SemEval_QA_B,"SST-2, NER, SemEval_QA_B",random,0.010978051892882722,0.11427575417135835,0.11427575417135835,0.927,0.927,0.944254835039818,0.8715313463514902,0.8409756097560975,0.944254835039818,0.8715313463514902,0.8409756097560975,,,,,0.9378185524974516,0.8975609756097561,0.9172482552342972,Yes,"bert-base-uncased|SST-2, NER, SemEval_QA_B|random"
xlnet-base-cased,SST-2,"SST-2, NER, SemEval_QA_B",prop,0.021580969906242888,0.20264125296047755,0.20264125296047755,0.94151376146789,0.94151376146789,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, NER, SemEval_QA_B|prop"
